trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
55,False,"{'a': 0.2, 'e': 0.059538555105529384}",20,16,7.883027643367511,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.2, 'e': 0.05656162735025291}",30,16,25.215991789335867,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.2, 'e': 0.053733545982740265}",20,3,18.19299821950285,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
58,False,"{'a': 0.2, 'e': 0.05104686868360325}",25,8,15.455336193201372,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
59,False,"{'a': 0.2, 'e': 0.04849452524942309}",25,14,20.30309174278496,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.2, 'e': 0.04606979898695193}",20,11,19.010221438242343,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.2, 'e': 0.04376630903760433}",20,14,12.927953362324434,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.2, 'e': 0.041577993585724116}",20,9,20.16529825785991,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.2, 'e': 0.03949909390643791}",25,11,12.900243003110635,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.2, 'e': 0.03752413921111601}",25,17,16.17159611159163,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.2, 'e': 0.03564793225056021}",25,7,30.033872038291495,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.2, 'e': 0.0338655356380322}",20,12,15.204928449503372,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.2, 'e': 0.032172258856130585}",25,7,25.08158388287823,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.2, 'e': 0.030563645913324056}",35,22,21.483985422720114,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.2, 'e': 0.029035463617657853}",20,12,13.937467621920671,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.2, 'e': 0.027583690436774957}",20,3,33.399852550765395,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.2, 'e': 0.02620450591493621}",20,12,16.520023153068664,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.2, 'e': 0.0248942806191894}",25,11,27.50979321834415,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.2, 'e': 0.023649566588229927}",20,14,9.069780650478828,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.2, 'e': 0.022467088258818428}",35,19,30.97634779800643,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.2, 'e': 0.021343733845877507}",25,11,27.404149185973672,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.2, 'e': 0.02027654715358363}",35,24,19.043878445985076,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.2, 'e': 0.019262719795904448}",25,13,24.60851158220921,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.2, 'e': 0.018299583806109226}",20,8,23.864872387594016,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.2, 'e': 0.017384604615803764}",20,5,27.227605122883126,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.2, 'e': 0.016515374385013576}",25,13,22.550980672340224,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.2, 'e': 0.015689605665762895}",25,8,31.880099958254412,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.2, 'e': 0.01490512538247475}",25,3,32.15121944545725,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.2, 'e': 0.014159869113351011}",25,9,27.257954893956377,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.2, 'e': 0.01345187565768346}",20,8,19.24943506305879,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.2, 'e': 0.012779281874799287}",25,5,34.56679323519024,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.2, 'e': 0.012140317781059323}",25,0,37.26217233437463,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
87,False,"{'a': 0.2, 'e': 0.011533301892006355}",25,15,15.656233810390203,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.2, 'e': 0.010956636797406038}",20,6,12.509263074664212,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.2, 'e': 0.010408804957535735}",35,25,19.707951807109133,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.2, 'e': 0.009888364709658948}",35,22,24.418085915123438,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.2, 'e': 0.009393946474176}",20,11,14.919201895578531,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.2, 'e': 0.0089242491504672}",20,3,27.892311774572082,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.2, 'e': 0.008478036692943839}",30,19,20.531789546786804,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.2, 'e': 0.008054134858296647}",25,17,12.710840163354378,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.2, 'e': 0.0076514281153818135}",20,6,24.878943233007067,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.2, 'e': 0.0072688567096127225}",20,11,17.21409703290703,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.2, 'e': 0.006905413874132086}",35,26,14.874824661481401,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.2, 'e': 0.006560143180425482}",35,24,21.419763394516085,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.2, 'e': 0.0062321360214042075}",20,10,16.74029385497517,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
